,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr,average_train_loss,average_test_loss
26,100,5.490153824356076,5.540303286623376,4,16,ReLU(),0.1,0.01,5.51761852264462,5.523771232547466
32,100,5.53811655603934,5.549583619507038,4,32,ReLU(),0.05,0.01,5.553220143750888,5.547698014136504
12,100,5.563663112173162,5.549003778781251,3,32,LeakyReLU(negative_slope=0.01),0.05,0.01,5.586119150646663,5.552049050974106
6,100,5.542845027723229,5.555158859398895,3,16,LeakyReLU(negative_slope=0.01),0.1,0.01,5.569761090652503,5.575628068697247
4,100,5.595613399571983,5.588482370104475,3,16,LeakyReLU(negative_slope=0.01),0.05,0.01,5.602642352264357,5.602308805252503
38,100,5.602450470437818,5.589992634998472,4,32,LeakyReLU(negative_slope=0.01),0.1,0.01,5.6209849804473695,5.6075122882119475
30,100,5.596688092946374,5.609656772035371,4,16,LeakyReLU(negative_slope=0.01),0.1,0.01,5.629094289687186,5.628338820961315
44,100,5.641682451783291,5.6425457964861065,4,64,LeakyReLU(negative_slope=0.01),0.05,0.01,5.669626325861582,5.640514085680597
10,100,5.618097367172034,5.650781936864374,3,32,ReLU(),0.1,0.01,5.657787018949573,5.641963293360906
42,100,5.710200823863813,5.708756238316959,4,64,ReLU(),0.1,0.01,5.728869285435427,5.690104407642464
18,100,5.774535231542127,5.690225462738739,3,64,ReLU(),0.1,0.01,5.8307532663357735,5.694520802551446
16,100,5.719146331895889,5.7290536682776905,3,64,ReLU(),0.05,0.01,5.796953242900645,5.732342246453941
24,100,5.705090427598488,5.717168331510081,4,16,ReLU(),0.05,0.01,5.729820292368979,5.733224189569873
22,100,5.811694793803428,5.7518570855893945,3,64,LeakyReLU(negative_slope=0.01),0.1,0.01,5.856440184773057,5.774455881977143
40,100,5.785730211319271,5.810696757686994,4,64,ReLU(),0.05,0.01,5.82289162204062,5.803115173631656
2,100,5.8543841805064245,5.88446382081642,3,16,ReLU(),0.1,0.01,5.873286955000135,5.851890472611468
34,100,5.8596549997697736,5.857951376575349,4,32,ReLU(),0.1,0.01,5.890469940793269,5.8631227288961165
46,100,5.902074869977588,5.88685884727903,4,64,LeakyReLU(negative_slope=0.01),0.1,0.01,5.903169994059579,5.870334817498213
20,100,5.963461814748119,5.918965020986162,3,64,LeakyReLU(negative_slope=0.01),0.05,0.01,5.97928726457344,5.911590790030832
8,100,6.01168835501192,5.985799115552767,3,32,ReLU(),0.05,0.01,6.052231792129568,5.987368277138886
28,100,5.968215062588856,5.970251700905898,4,16,LeakyReLU(negative_slope=0.01),0.05,0.01,6.018650306549993,5.999185361717703
36,100,6.192468529562566,6.1971610151109084,4,32,LeakyReLU(negative_slope=0.01),0.05,0.01,6.203155675027968,6.1963510246836435
14,100,6.319357660217482,6.27894179720364,3,32,LeakyReLU(negative_slope=0.01),0.1,0.01,6.346049289936161,6.2928172200483985
0,100,6.597888870544695,6.652568613293112,3,16,ReLU(),0.05,0.01,6.6303466061319,6.60793344423532
1,100,15.446485666862989,15.496248977351147,3,16,ReLU(),0.05,0.001,15.515155601388285,15.384759537556981
23,100,15.89182136670076,15.776236395726908,3,64,LeakyReLU(negative_slope=0.01),0.1,0.001,15.904052872155374,15.778363706923376
15,100,16.712427368528544,16.666082470687943,3,32,LeakyReLU(negative_slope=0.01),0.1,0.001,16.711217795471786,16.591019263651532
33,100,16.75759052256374,16.671704187392816,4,32,ReLU(),0.05,0.001,16.787121953614648,16.65232206216785
3,100,16.85697225596374,16.66024890628427,3,16,ReLU(),0.1,0.001,16.890390260057398,16.758513941121183
47,100,16.993267710542703,16.89285564721198,4,64,LeakyReLU(negative_slope=0.01),0.1,0.001,17.01287623904757,16.89277673790377
19,100,17.195998028632317,17.128057070079045,3,64,ReLU(),0.1,0.001,17.215720810844257,17.099572191243663
21,100,18.75728153649103,18.681285808424803,3,64,LeakyReLU(negative_slope=0.01),0.05,0.001,18.76920550271651,18.64131203055304
7,100,18.83748330495754,18.547843791479508,3,16,LeakyReLU(negative_slope=0.01),0.1,0.001,18.78534926446675,18.677318828708533
13,100,19.004487370744165,18.88114237588561,3,32,LeakyReLU(negative_slope=0.01),0.05,0.001,19.042022546101684,18.921729146176713
9,100,19.168901954089662,19.08101651964876,3,32,ReLU(),0.05,0.001,19.181506512616437,19.065729287145963
43,100,19.200132125780765,19.12646208554449,4,64,ReLU(),0.1,0.001,19.235604222429195,19.107557679506403
17,100,19.359819531360408,19.1568975123655,3,64,ReLU(),0.05,0.001,19.33033137430011,19.201717898238797
45,100,19.3743057497066,19.263204833828045,4,64,LeakyReLU(negative_slope=0.01),0.05,0.001,19.409188983620698,19.279970322136148
35,100,19.93914621542144,19.755614223410596,4,32,ReLU(),0.1,0.001,19.931319936902995,19.80263486066242
37,100,20.014807545943512,19.94781443416168,4,32,LeakyReLU(negative_slope=0.01),0.05,0.001,20.00734040574369,19.881113145361475
27,100,20.11310843114394,19.929808480640908,4,16,ReLU(),0.1,0.001,20.138508251093054,20.01719142095636
41,100,20.21666064276505,20.098938561784895,4,64,ReLU(),0.05,0.001,20.235930648020418,20.10250680797426
39,100,20.2876918995675,20.233331299973973,4,32,LeakyReLU(negative_slope=0.01),0.1,0.001,20.29867305312075,20.164661294026576
31,100,20.512655883997613,20.33374629214763,4,16,LeakyReLU(negative_slope=0.01),0.1,0.001,20.54625285618871,20.417579051516842
25,100,20.59028383126894,20.41079927691533,4,16,ReLU(),0.05,0.001,20.622680170286753,20.485046898151573
11,100,21.36026600915649,21.4128503530632,3,32,ReLU(),0.1,0.001,21.413035395601426,21.28492176947815
5,100,21.71341252379135,21.56778786748631,3,16,LeakyReLU(negative_slope=0.01),0.05,0.001,21.756994619600434,21.61830157230061
29,100,22.265429224199664,22.18687835502774,4,16,LeakyReLU(negative_slope=0.01),0.05,0.001,22.286249455421707,22.152116675933822
